,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 1,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DEL ÍNDICE DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Número)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
1,C,Industrias manufactureras.,93.46,99.15,101.08,94.23,98.30,98.80,104.75,97.62,105.89,103.03,97.83,98.62,88.64,85.45,95.74,86.89,90.01,90.16,89.64,90.95,87.90,90.98,89.92,90.63,86.20,84.07,94.38,91.78,99.21,97.50,97.03,100.43,93.39,97.79,95.24,98.31,93.99,93.33,90.46,97.90,106.96,98.45,108.77,107.26,110.27,106.43,100.16,101.38,96.91,96.14,86.06,71.95,101.95,136.06,141.57,129.42,143.71
2,C10,Elaboración de productos alimenticios.,97.71,95.93,87.30,91.70,90.04,96.24,93.36,89.23,90.32,96.01,86.79,92.21,83.64,81.10,90.95,82.64,88.11,88.78,87.99,89.42,82.27,82.47,79.33,87.71,83.35,77.44,88.38,86.60,100.08,95.06,97.39,97.19,94.05,97.14,95.41,100.14,90.19,91.13,92.46,105.60,120.57,112.32,129.44,121.10,124.40,118.88,105.17,104.71,101.51,95.18,96.86,90.94,100.61,110.31,105.81,91.72,102.69
3,C101,Elaboración y conservación de carne.,103.74,113.75,100.98,107.62,113.39,112.22,106.27,106.28,105.07,104.86,101.54,121.30,88.63,90.42,99.06,92.22,100.56,102.54,98.24,107.42,98.36,95.95,101.16,111.36,99.73,95.70,112.30,103.51,114.78,104.65,107.78,109.74,98.76,109.57,94.37,125.25,98.92,99.81,110.46,112.66,130.35,112.86,117.32,121.84,124.10,127.04,119.36,157.44,118.20,104.40,118.53,101.57,106.47,113.21,109.20,101.71,117.69
3,C102,"Elaboración y conservación de pescados, crustáceos y moluscos.",105.58,86.67,77.82,84.66,74.62,80.49,71.76,66.01,69.00,82.12,65.58,65.25,74.45,68.05,78.81,70.66,75.31,73.61,78.60,74.97,63.59,60.70,55.87,69.66,74.86,65.11,75.59,78.70,98.02,86.89,85.65,81.67,78.65,73.08,87.43,84.47,78.38,88.08,82.52,115.59,145.22,136.32,164.13,145.48,158.08,139.19,112.39,88.69,115.22,110.46,111.19,102.62,116.22,135.12,122.12,90.60,111.23
3,C103,"Elaboración y conservación de frutas, legumbres y hortalizas.",100.11,99.18,72.36,84.33,84.98,80.19,76.26,73.10,74.09,82.88,73.61,96.29,63.99,74.12,83.31,80.82,87.23,84.36,84.63,93.02,87.07,87.53,76.18,68.27,79.66,82.69,88.41,85.77,89.11,73.83,94.70,101.89,126.37,87.71,82.86,114.70,84.25,92.07,100.40,136.35,125.28,140.29,153.89,117.07,112.97,116.98,130.27,90.37,108.57,98.77,128.88,124.12,168.15,155.71,150.49,172.50,112.84
3,C104,Elaboración de aceites y grasas de origen vegetal y animal.,90.09,93.78,97.40,98.21,99.11,122.41,108.17,102.73,92.23,82.43,81.66,90.66,82.22,77.51,72.45,71.89,79.78,75.14,71.30,66.79,59.15,61.73,63.12,70.31,67.06,68.34,59.78,65.36,67.28,76.09,80.61,84.05,63.43,80.03,74.51,80.00,95.92,83.37,70.75,81.78,74.13,64.13,84.06,63.67,51.29,56.59,51.06,55.24,57.66,53.96,49.21,41.79,49.61,51.97,51.58,44.36,45.86
3,C105,Elaboración de productos lácteos.,89.64,77.17,81.92,90.73,98.89,96.90,93.99,86.34,85.49,85.40,80.77,83.63,77.48,63.27,70.25,64.87,73.57,71.93,68.52,65.51,69.40,71.57,66.51,65.74,69.22,62.79,74.70,72.72,97.43,91.23,94.83,93.61,100.56,108.89,98.37,106.22,93.18,93.11,106.50,102.58,108.86,90.88,108.11,103.29,100.11,89.00,87.81,91.13,94.82,106.97,102.29,112.32,120.90,118.35,119.23,103.26,108.49
3,C106,"Elaboración de productos de molinería, almidones y productos derivados del almidón.",103.69,101.45,106.26,103.98,102.33,102.61,102.82,102.40,105.29,112.85,105.04,106.18,96.66,93.61,102.75,99.31,102.44,104.09,97.15,104.76,100.76,108.55,109.44,117.69,100.19,104.54,119.62,111.85,122.47,125.19,121.93,126.32,117.93,117.40,127.45,123.02,117.28,94.15,104.84,104.89,89.83,96.26,92.93,96.58,89.54,97.83,85.04,86.07,78.02,64.35,66.45,75.31,75.41,70.07,81.38,82.98,86.72
3,C107,Elaboración de otros productos alimenticios.,72.89,106.12,78.28,77.21,78.88,100.36,123.75,115.56,124.64,129.75,123.48,122.98,102.46,108.75,128.35,107.40,109.26,120.23,114.48,117.59,116.85,120.12,106.36,111.21,87.64,80.65,92.35,88.03,92.52,103.58,113.52,115.29,130.11,137.69,112.73,106.74,87.27,89.19,88.95,82.38,95.93,99.05,118.25,120.32,121.09,126.21,122.66,128.17,83.67,77.68,67.69,65.32,78.09,92.71,94.10,99.78,99.81
3,C108,Elaboración de alimentos preparados para animales.,94.07,94.27,98.88,95.35,99.23,94.47,92.58,98.78,90.59,94.21,86.76,95.66,82.28,90.59,102.75,93.65,97.46,95.37,96.48,108.08,100.35,108.10,105.35,93.91,98.85,86.51,101.69,94.65,102.34,91.32,95.23,96.54,84.43,103.34,95.24,79.60,99.09,88.77,95.33,94.97,96.77,87.42,95.21,91.32,88.72,92.04,83.93,91.49,93.57,80.11,81.83,82.63,79.53,80.07,83.27,81.11,86.25
2,C11,Elaboración de bebidas.,95.29,90.79,94.21,94.01,98.50,95.53,101.96,102.42,99.82,91.08,89.19,108.73,83.83,75.50,78.97,73.93,77.68,81.35,81.83,69.28,72.76,76.27,84.25,83.06,65.74,72.95,67.04,77.94,78.64,75.84,63.62,75.03,71.19,73.69,77.81,86.27,65.66,65.98,71.95,78.49,73.27,64.95,56.25,63.03,57.68,56.84,59.23,72.91,53.16,56.87,38.55,20.39,34.47,58.84,64.42,63.24,72.57
3,C110,Elaboración de bebidas.,95.29,90.79,94.21,94.01,98.50,95.53,101.96,102.42,99.82,91.08,89.19,108.73,83.83,75.50,78.97,73.93,77.68,81.35,81.83,69.28,72.76,76.27,84.25,83.06,65.74,72.95,67.04,77.94,78.64,75.84,63.62,75.03,71.19,73.69,77.81,86.27,65.66,65.98,71.95,78.49,73.27,64.95,56.25,63.03,57.68,56.84,59.23,72.91,53.16,56.87,38.55,20.39,34.47,58.84,64.42,63.24,72.57
