,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 2,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN MENSUAL DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
1,C,Industrias manufactureras.,-5.07,6.08,1.95,-6.77,4.32,0.51,6.02,-6.81,8.47,-2.70,-5.04,0.81,-10.12,-3.61,12.05,-9.25,3.60,0.16,-0.58,1.46,-3.35,3.50,-1.17,0.80,-4.90,-2.46,12.27,-2.76,8.09,-1.72,-0.48,3.50,-7.01,4.71,-2.61,3.22,-4.39,-0.71,-3.07,8.22,9.26,-7.96,10.49,-1.39,2.81,-3.48,-5.89,1.21,-4.41,-0.80,-10.48,-16.39,41.69,33.46,4.05,-8.58,11.04
2,C10,Elaboración de productos alimenticios.,-1.65,-1.82,-9.00,5.04,-1.81,6.89,-2.99,-4.42,1.22,6.29,-9.60,6.24,-9.29,-3.03,12.14,-9.13,6.62,0.76,-0.90,1.62,-7.99,0.24,-3.81,10.56,-4.97,-7.08,14.12,-2.01,15.56,-5.02,2.45,-0.20,-3.23,3.28,-1.78,4.95,-9.94,1.05,1.45,14.21,14.19,-6.84,15.24,-6.44,2.73,-4.44,-11.54,-0.43,-3.06,-6.23,1.77,-6.11,10.63,9.64,-4.08,-13.31,11.96
3,C101,Elaboración y conservación de carne.,-16.16,9.65,-11.23,6.58,5.36,-1.03,-5.30,0.02,-1.15,-0.19,-3.17,19.46,-26.93,2.01,9.56,-6.90,9.04,1.98,-4.20,9.34,-8.43,-2.45,5.43,10.09,-10.45,-4.04,17.36,-7.83,10.88,-8.82,2.99,1.82,-10.00,10.95,-13.88,32.72,-21.02,0.90,10.67,1.99,15.71,-13.42,3.96,3.85,1.85,2.37,-6.05,31.90,-24.92,-11.68,13.54,-14.31,4.82,6.33,-3.55,-6.86,15.71
3,C102,"Elaboración y conservación de pescados, crustáceos y moluscos.",16.54,-17.91,-10.21,8.79,-11.87,7.87,-10.84,-8.00,4.51,19.02,-20.14,-0.51,14.09,-8.58,15.80,-10.34,6.59,-2.27,6.79,-4.63,-15.17,-4.55,-7.96,24.68,7.46,-13.02,16.10,4.12,24.54,-11.36,-1.42,-4.65,-3.71,-7.08,19.64,-3.38,-7.21,12.38,-6.32,40.08,25.64,-6.13,20.40,-11.36,8.66,-11.95,-19.25,-21.08,29.91,-4.13,0.66,-7.71,13.25,16.26,-9.62,-25.81,22.78
3,C103,"Elaboración y conservación de frutas, legumbres y hortalizas.",-18.30,-0.93,-27.04,16.55,0.77,-5.64,-4.90,-4.14,1.36,11.86,-11.19,30.82,-33.55,15.83,12.41,-2.99,7.93,-3.29,0.32,9.92,-6.40,0.53,-12.97,-10.38,16.69,3.79,6.92,-2.98,3.89,-17.14,28.26,7.60,24.02,-30.59,-5.53,38.43,-26.55,9.28,9.05,35.81,-8.12,11.98,9.70,-23.93,-3.50,3.55,11.36,-30.63,20.14,-9.02,30.48,-3.70,35.47,-7.40,-3.35,14.63,-34.59
3,C104,Elaboración de aceites y grasas de origen vegetal y animal.,-5.16,4.10,3.86,0.84,0.91,23.52,-11.64,-5.03,-10.22,-10.63,-0.93,11.02,-9.31,-5.72,-6.53,-0.77,10.97,-5.82,-5.11,-6.33,-11.44,4.37,2.24,11.39,-4.62,1.90,-12.52,9.34,2.93,13.09,5.94,4.27,-24.53,26.17,-6.90,7.36,19.90,-13.09,-15.14,15.60,-9.36,-13.48,31.08,-24.25,-19.45,10.35,-9.78,8.20,4.37,-6.41,-8.80,-15.07,18.70,4.76,-0.75,-14.01,3.39
3,C105,Elaboración de productos lácteos.,-7.07,-13.91,6.15,10.76,8.99,-2.02,-3.00,-8.14,-0.98,-0.11,-5.41,3.53,-7.35,-18.34,11.03,-7.66,13.41,-2.22,-4.74,-4.40,5.94,3.13,-7.07,-1.16,5.30,-9.29,18.96,-2.65,33.98,-6.37,3.95,-1.28,7.42,8.28,-9.66,7.98,-12.28,-0.07,14.39,-3.68,6.12,-16.52,18.95,-4.45,-3.08,-11.10,-1.34,3.78,4.05,12.82,-4.38,9.80,7.64,-2.11,0.75,-13.39,5.06
3,C106,"Elaboración de productos de molinería, almidones y productos derivados del almidón.",-0.19,-2.16,4.74,-2.14,-1.59,0.28,0.21,-0.41,2.82,7.18,-6.92,1.09,-8.97,-3.15,9.76,-3.34,3.15,1.61,-6.67,7.83,-3.82,7.74,0.82,7.54,-14.87,4.34,14.42,-6.49,9.49,2.22,-2.61,3.60,-6.64,-0.45,8.56,-3.47,-4.66,-19.72,11.36,0.04,-14.35,7.16,-3.47,3.93,-7.29,9.26,-13.07,1.21,-9.36,-17.52,3.25,13.35,0.12,-7.08,16.15,1.96,4.51
3,C107,Elaboración de otros productos alimenticios.,-14.17,45.58,-26.23,-1.36,2.15,27.23,23.31,-6.62,7.86,4.10,-4.84,-0.40,-16.69,6.14,18.03,-16.33,1.74,10.04,-4.78,2.72,-0.63,2.80,-11.45,4.56,-21.20,-7.97,14.51,-4.68,5.10,11.95,9.60,1.55,12.86,5.83,-18.13,-5.31,-18.23,2.20,-0.27,-7.39,16.45,3.25,19.38,1.75,0.64,4.24,-2.82,4.49,-34.72,-7.16,-12.87,-3.50,19.56,18.72,1.50,6.04,0.03
3,C108,Elaboración de alimentos preparados para animales.,-11.26,0.21,4.90,-3.57,4.08,-4.80,-2.00,6.69,-8.29,4.00,-7.91,10.26,-13.99,10.10,13.43,-8.85,4.06,-2.14,1.17,12.02,-7.15,7.72,-2.55,-10.86,5.26,-12.48,17.54,-6.93,8.13,-10.77,4.27,1.38,-12.55,22.40,-7.84,-16.42,24.48,-10.42,7.40,-0.38,1.90,-9.66,8.91,-4.09,-2.85,3.74,-8.81,9.01,2.28,-14.39,2.15,0.99,-3.76,0.68,4.00,-2.59,6.33
