,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 4,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN ACUMULADA DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
1,C,Industrias manufactureras.,-5.07,0.71,2.67,-4.28,-0.15,0.36,6.40,-0.84,7.56,4.65,-0.62,0.18,-10.12,-13.36,-2.92,-11.90,-8.73,-8.58,-9.11,-7.78,-10.87,-7.75,-8.83,-8.10,-4.90,-7.24,4.14,1.26,9.46,7.58,7.06,10.81,3.04,7.89,5.08,8.46,-4.39,-5.06,-7.98,-0.41,8.81,0.14,10.65,9.11,12.17,8.27,1.89,3.13,-4.41,-5.17,-15.11,-29.03,0.56,34.21,39.64,27.66,41.76
2,C10,Elaboración de productos alimenticios.,-1.65,-3.44,-12.12,-7.70,-9.37,-3.13,-6.02,-10.18,-9.08,-3.36,-12.63,-7.18,-9.29,-12.04,-1.37,-10.38,-4.45,-3.72,-4.58,-3.03,-10.78,-10.56,-13.97,-4.88,-4.97,-11.70,0.77,-1.26,14.11,8.38,11.04,10.82,7.23,10.75,8.79,14.17,-9.94,-8.99,-7.67,5.45,20.41,12.17,29.26,20.93,24.23,18.72,5.02,4.57,-3.06,-9.10,-7.50,-13.15,-3.92,5.35,1.05,-12.41,-1.93
3,C101,Elaboración y conservación de carne.,-16.16,-8.08,-18.40,-13.03,-8.37,-9.31,-14.12,-14.11,-15.09,-15.26,-17.94,-1.97,-26.93,-25.46,-18.34,-23.98,-17.10,-15.47,-19.01,-11.45,-18.91,-20.90,-16.61,-8.19,-10.45,-14.07,0.84,-7.05,3.06,-6.03,-3.22,-1.46,-11.32,-1.61,-15.26,12.47,-21.02,-20.31,-11.81,-10.05,4.08,-9.89,-6.33,-2.72,-0.92,1.43,-4.70,25.70,-24.92,-33.69,-24.71,-35.49,-32.38,-28.09,-30.64,-35.40,-25.25
3,C102,"Elaboración y conservación de pescados, crustáceos y moluscos.",16.54,-4.34,-14.11,-6.56,-17.64,-11.17,-20.80,-27.14,-23.85,-9.36,-27.62,-27.98,14.09,4.30,20.78,8.29,15.43,12.81,20.47,14.89,-2.54,-6.97,-14.37,6.76,7.46,-6.54,8.51,12.98,40.71,24.73,22.96,17.24,12.90,4.90,25.50,21.26,-7.21,4.28,-2.31,36.84,71.92,61.39,94.31,72.23,87.14,64.77,33.05,5.00,29.91,24.54,25.36,15.70,31.03,52.34,37.69,2.14,25.41
3,C103,"Elaboración y conservación de frutas, legumbres y hortalizas.",-18.30,-19.05,-40.94,-31.17,-30.64,-34.55,-37.76,-40.34,-39.53,-32.36,-39.92,-21.41,-33.55,-23.03,-13.48,-16.07,-9.41,-12.39,-12.11,-3.40,-9.58,-9.10,-20.89,-29.10,16.69,21.12,29.50,25.64,30.52,8.15,38.71,49.25,85.10,28.47,21.37,68.01,-26.55,-19.73,-12.47,18.88,9.23,22.31,34.17,2.07,-1.50,1.99,13.58,-21.21,20.14,9.30,42.62,37.35,86.07,72.31,66.53,90.89,24.87
3,C104,Elaboración de aceites y grasas de origen vegetal y animal.,-5.16,-1.27,2.54,3.40,4.34,28.88,13.88,8.16,-2.90,-13.22,-14.03,-4.55,-9.31,-14.50,-20.08,-20.70,-12.00,-17.12,-21.35,-26.33,-34.76,-31.91,-30.38,-22.45,-4.62,-2.80,-14.97,-7.04,-4.31,8.22,14.65,19.54,-9.78,13.83,5.97,13.77,19.90,4.21,-11.56,2.24,-7.34,-19.83,5.08,-20.41,-35.89,-29.25,-36.17,-30.94,4.37,-2.32,-10.92,-24.34,-10.19,-5.92,-6.62,-19.70,-16.98
3,C105,Elaboración de productos lácteos.,-7.07,-20.00,-15.08,-5.94,2.52,0.45,-2.56,-10.50,-11.38,-11.47,-16.26,-13.31,-7.35,-24.34,-16.00,-22.43,-12.03,-13.99,-18.06,-21.67,-17.02,-14.42,-20.47,-21.39,5.30,-4.48,13.63,10.62,48.21,38.77,44.25,42.40,52.97,65.63,49.63,61.57,-12.28,-12.34,0.27,-3.43,2.49,-14.44,1.78,-2.76,-5.75,-16.21,-17.33,-14.21,4.05,17.38,12.25,23.25,32.67,29.86,30.83,13.31,19.04
3,C106,"Elaboración de productos de molinería, almidones y productos derivados del almidón.",-0.19,-2.34,2.29,0.10,-1.50,-1.22,-1.02,-1.42,1.35,8.63,1.11,2.21,-8.97,-11.84,-3.23,-6.47,-3.52,-1.96,-8.50,-1.33,-5.11,2.23,3.07,10.84,-14.87,-11.17,1.64,-4.96,4.06,6.37,3.60,7.33,0.20,-0.25,8.29,4.53,-4.66,-23.46,-14.77,-14.74,-26.98,-21.75,-24.46,-21.49,-27.22,-20.48,-30.87,-30.03,-9.36,-25.23,-22.80,-12.50,-12.39,-18.59,-5.45,-3.59,0.76
3,C107,Elaboración de otros productos alimenticios.,-14.17,24.94,-7.83,-9.09,-7.13,18.16,45.70,36.06,46.75,52.77,45.38,44.80,-16.69,-11.57,4.37,-12.67,-11.15,-2.24,-6.91,-4.38,-4.99,-2.33,-13.51,-9.57,-21.20,-27.48,-16.96,-20.84,-16.81,-6.86,2.08,3.67,16.99,23.81,1.36,-4.02,-18.23,-16.44,-16.66,-22.82,-10.12,-7.20,10.78,12.73,13.44,18.25,14.92,20.08,-34.72,-39.39,-47.19,-49.04,-39.07,-27.66,-26.58,-22.15,-22.12
3,C108,Elaboración de alimentos preparados para animales.,-11.26,-11.07,-6.72,-10.05,-6.39,-10.88,-12.66,-6.82,-14.54,-11.12,-18.15,-9.76,-13.99,-5.30,7.41,-2.10,1.88,-0.30,0.86,12.98,4.91,13.01,10.13,-1.83,5.26,-7.87,8.29,0.79,8.98,-2.76,1.40,2.80,-10.09,10.04,1.41,-15.24,24.48,11.52,19.77,19.31,21.58,9.83,19.62,14.73,11.46,15.63,5.44,14.94,2.28,-12.44,-10.56,-9.68,-13.07,-12.48,-8.98,-11.34,-5.73
