Marca,Dic 24,Dic 25,Ene-Dic 24,Ene-Dic 25
KIA,1254,1527,16727,19141
HYUNDAI,301,613,5158,7554
CHEVROLET,1431,1238,19969,15671
GWM,659,1020,3608,6678
TOYOTA,499,564,6654,6123
CHERY,323,513,4718,5660
RENAULT,266,435,3671,4810
SUZUKI,337,236,4198,4534
DONGFENG,158,316,2152,3479
JAC,278,504,2969,4047
SINOTRUK,203,378,1984,3459
DFSK,201,351,2626,3320
VOLKSWAGEN,124,283,2569,3181
BYD,118,386,850,2916
HINO,240,239,2532,2699
MAZDA,181,199,2430,2637
FOTON,71,244,1245,2077
JETOUR,162,381,1825,2289
NISSAN,176,213,2560,1772
SHINERAY,185,171,2318,1769
OTRAS MARCAS,1534,2557,17503,20689
KIA,1248,1518,16639,19035
HYUNDAI,274,577,4838,7081
CHEVROLET,579,509,8604,7010
CHERY,323,513,4718,5658
TOYOTA,361,437,5222,4606
RENAULT,266,435,3664,4795
BYD,104,359,827,2769
DFSK,177,261,2033,2565
MAZDA,172,184,2314,2447
VOLKSWAGEN,102,262,2480,2336
DONGFENG,64,122,808,1726
NISSAN,130,196,2197,1554
CHANGAN,172,242,1303,1461
GWM,92,140,621,1135
SHINERAY,150,86,1741,1060
MG,63,112,658,972
FORD,50,79,653,809
PEUGEOT,23,46,711,626
OTRAS MARCAS,558,810,6199,6938
CHEVROLET,674,508,9736,6123
GWM,567,880,2987,5543
JAC,126,187,1149,1518
TOYOTA,138,127,1431,1517
DONGFENG,42,85,679,952
MITSUBISHI,16,116,314,912
VOLKSWAGEN,22,21,89,845
FOTON,26,78,421,826
FORD,70,83,1051,753
KYC,145,66,600,709
ISUZU,,,420,418
RAM,30,47,485,483
ZXAUTO,39,45,420,418
JMC,15,6,604,377
SINOTRUK,,48,,337
NISSAN,46,17,363,218
MAZDA,9,15,116,190
CHANGAN,42,26,288,178
ANKAI,,,77,151
OTRAS MARCAS,49,79,447,775
BYD,14,26,18,139
GASOLINA,4565,5998,62152,65326
DIESEL,2887,4080,31610,36533
HIBRIDO,1076,1728,13088,18370
ELECTRICO BEV,173,562,1416,4276
Total,8701,12368,108266,124505
SHINERAY,,,,59165
DAYTONA,,,,34109
IGM,,,,16346
TUKO,,,,18681
RANGER,,,,13372
MOTOR UNO,,,,12924
LONCIN,,,,11929
THUNDER,,,,11306
SUZUKI,,,,11189
BAJAJ,,,,11081
HONDA,,,,11048
YAMAHA,,,,10213
DUKARE,,,,7559
TUNDRA,,,,9122
AKT,,,,5984
FACTORY BIKE,,,,3853
ZONSEN,,,,3700
Z1,,,,3240
SUKIDA,,,,3043
TVS,,,,2944
OTRAS MARCAS,,,,14203
,,,,275011
