nivel,ciiu,descripcion,fecha,ipi_valor
2,C24,Fabricación de metales comunes.,2016-01-01,90.45
2,C24,Fabricación de metales comunes.,2016-02-01,93.21
2,C24,Fabricación de metales comunes.,2016-03-01,87.28
2,C24,Fabricación de metales comunes.,2016-04-01,109.07
2,C24,Fabricación de metales comunes.,2016-05-01,110.09
2,C24,Fabricación de metales comunes.,2016-06-01,108.23
2,C24,Fabricación de metales comunes.,2016-07-01,95.77
2,C24,Fabricación de metales comunes.,2016-08-01,108.05
2,C24,Fabricación de metales comunes.,2016-09-01,110.82
2,C24,Fabricación de metales comunes.,2016-10-01,139.88
2,C24,Fabricación de metales comunes.,2016-11-01,117.26
2,C24,Fabricación de metales comunes.,2016-12-01,134.98
2,C24,Fabricación de metales comunes.,2017-01-01,116.53
2,C24,Fabricación de metales comunes.,2017-02-01,98.99
2,C24,Fabricación de metales comunes.,2017-03-01,109.26
2,C24,Fabricación de metales comunes.,2017-04-01,94.8
2,C24,Fabricación de metales comunes.,2017-05-01,102.52
2,C24,Fabricación de metales comunes.,2017-06-01,116.1
2,C24,Fabricación de metales comunes.,2017-07-01,127.42
2,C24,Fabricación de metales comunes.,2017-08-01,105.93
2,C24,Fabricación de metales comunes.,2017-09-01,123.63
2,C24,Fabricación de metales comunes.,2017-10-01,148.61
2,C24,Fabricación de metales comunes.,2017-11-01,136.65
2,C24,Fabricación de metales comunes.,2017-12-01,122.53
2,C24,Fabricación de metales comunes.,2018-01-01,125.22
2,C24,Fabricación de metales comunes.,2018-02-01,121.56
2,C24,Fabricación de metales comunes.,2018-03-01,128.15
2,C24,Fabricación de metales comunes.,2018-04-01,113.47
2,C24,Fabricación de metales comunes.,2018-05-01,112.49
2,C24,Fabricación de metales comunes.,2018-06-01,132.14
2,C24,Fabricación de metales comunes.,2018-07-01,121.76
2,C24,Fabricación de metales comunes.,2018-08-01,137.5
2,C24,Fabricación de metales comunes.,2018-09-01,128.36
2,C24,Fabricación de metales comunes.,2018-10-01,139.75
2,C24,Fabricación de metales comunes.,2018-11-01,130.94
2,C24,Fabricación de metales comunes.,2018-12-01,127.89
2,C24,Fabricación de metales comunes.,2019-01-01,135.12
2,C24,Fabricación de metales comunes.,2019-02-01,143.16
2,C24,Fabricación de metales comunes.,2019-03-01,138.6
2,C24,Fabricación de metales comunes.,2019-04-01,136.06
2,C24,Fabricación de metales comunes.,2019-05-01,115.91
2,C24,Fabricación de metales comunes.,2019-06-01,108.62
2,C24,Fabricación de metales comunes.,2019-07-01,118.84
2,C24,Fabricación de metales comunes.,2019-08-01,111.43
2,C24,Fabricación de metales comunes.,2019-09-01,99.38
2,C24,Fabricación de metales comunes.,2019-10-01,110.81
2,C24,Fabricación de metales comunes.,2019-11-01,106.86
2,C24,Fabricación de metales comunes.,2019-12-01,100.86
2,C24,Fabricación de metales comunes.,2020-01-01,115.61
2,C24,Fabricación de metales comunes.,2020-02-01,134.49
2,C24,Fabricación de metales comunes.,2020-03-01,130.35
